Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Random Date
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196,2017-08-18
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221,2012-12-13
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136,2018-11-20
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,2002-03-21
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,2011-11-13
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,2019-03-30
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,2001-11-26
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255,2007-08-15
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,2021-11-09
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,2011-09-03
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225,2003-11-26
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,2008-10-19
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,2016-04-20
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,2016-09-06
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,2020-12-21
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,2005-07-08
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,2003-02-06
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,2021-03-26
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,2012-06-09
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,2008-01-09
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202,2017-01-23
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,2013-07-19
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,2014-02-21
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,2004-12-05
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,28,230,2007-09-01
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,30,214,2015-10-18
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.2,28,235,2018-10-09
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251,2013-10-15
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,2012-10-15
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,25,262,2005-11-06
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,2017-01-09
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,2002-07-24
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,13.7,8.3,11.3,25,265,2009-11-23
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,2006-08-08
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,13.1,8.8,11.2,25,258,2016-04-22
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,14.7,9.7,12.5,23,288,2005-05-15
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363,2016-08-20
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,2008-06-27
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.8,8.8,10.5,27,242,2002-10-22
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239,2015-04-01
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,12.9,9.2,11.2,25,258,2008-03-07
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244,2013-06-18
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.9,8.3,9.2,31,212,2014-11-17
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304,2002-06-08
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290,2000-10-24
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,2000-03-06
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,2013-02-04
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,2003-08-21
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,2021-04-02
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11.0,14.6,19,336,2012-05-12
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407,2011-08-01
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347,2020-11-15
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409,2005-07-26
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306,2013-04-20
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308,2006-06-20
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,15.5,8.8,12.5,23,293,2019-10-25
AUDI,S4,COMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,2020-04-25
AUDI,S4,COMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,2015-12-13
AUDI,S5,SUBCOMPACT,3.0,6,A7,Z,13.2,9.2,11.4,25,262,2006-10-16
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285,2009-10-07
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,A7,Z,13.3,9.5,11.6,24,267,2010-11-19
AUDI,S6,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,2012-04-16
AUDI,S7,MID-SIZE,4.0,8,A7,Z,14.2,9.7,12.2,23,281,2001-05-09
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,15.8,9.2,12.8,22,300,2010-01-17
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.9,10.1,12.7,22,292,2019-09-12
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,10.4,7.6,9.1,31,209,2004-07-06
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,10.4,7.6,9.1,31,209,2007-05-25
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A6,Z,11.5,8.8,10.3,27,237,2014-10-12
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A6,Z,11.5,8.8,10.3,27,237,2007-01-25
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS8,Z,16.3,9.8,13.4,21,314,2020-11-09
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356,2012-05-14
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS8,Z,17.4,10.2,14.2,20,332,2019-08-10
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,2016-09-03
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,20.0,12.2,16.5,17,380,2001-02-28
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388,2000-04-04
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19.0,15,437,2020-10-14
BMW,320i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,2000-07-18
BMW,320i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,2014-04-26
BMW,320i xDRIVE,COMPACT,2.0,4,A8,Z,10.2,7.0,8.8,32,202,2005-01-18
BMW,328d xDRIVE,COMPACT,2.0,4,A8,D,7.6,5.5,6.7,42,181,2016-09-02
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,D,7.6,5.5,6.7,42,181,2018-09-18
BMW,328i,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,2017-10-01
BMW,328i,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,2012-12-10
BMW,328i xDRIVE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2009-05-25
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2014-06-14
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2000-02-27
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,2016-06-05
BMW,335i,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,2004-09-27
BMW,335i xDRIVE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,2010-09-04
BMW,335i xDRIVE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,2016-04-26
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,2021-07-26
BMW,428i COUPE,COMPACT,2.0,4,A8,Z,10.0,6.5,8.4,34,193,2000-04-20
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200,2011-08-26
BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2011-04-22
BMW,435i COUPE,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221,2004-08-13
BMW,435i COUPE,COMPACT,3.0,6,M6,Z,11.8,7.9,10.0,28,230,2006-01-03
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228,2015-05-14
BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M6,Z,11.9,8.3,10.3,27,237,2001-02-04
BMW,528i,MID-SIZE,2.0,4,A8,Z,10.2,7.0,8.8,32,202,2006-06-02
BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2013-12-19
BMW,535d xDRIVE,MID-SIZE,3.0,6,A8,D,9.2,6.4,7.9,36,213,2003-10-31
BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.9,8.0,10.1,28,232,2016-09-27
BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,2015-01-24
BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281,2012-03-01
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2020-02-13
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A8,Z,11.9,8.0,10.1,28,232,2017-07-29
BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2021-03-11
BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281,2007-12-02
BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2001-09-17
BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.5,8.6,10.7,26,246,2013-12-03
BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2011-07-01
BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2012-02-16
BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,356,2011-06-16
BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.2,7.1,8.3,34,191,2000-12-13
BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,2018-08-31
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.5,7.6,9.2,31,212,2010-10-18
BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2007-01-05
BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A8,Z,15.0,9.8,12.7,22,292,2019-04-26
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,2012-12-25
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317,2007-06-14
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,2001-05-03
BMW,M6,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,2014-08-22
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,2008-10-12
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,2010-11-20
